Harga,Lokasi,Kamar_Tidur,Kamar_Mandi,Luas_Tanah,Luas_Bangunan,Kondisi
Rp 550 Juta - Rp 641 Juta,"Pancoran Mas, Kota Depok",2,1,60 - 76,42,Baru
Rp 690 Juta,"Wiyung, Kota Surabaya",2,1,60,30,Second
Rp 690 Juta - Rp 732 Juta,"Banguntapan, Kab. Bantul",2-3,1-2,75 - 90,60 - 70,Baru
"Rp 1,28 Miliar","Duren Sawit, Kota Jakarta Timur",3,2,60,75,Second
"Rp 375,3 Juta - Rp 470 Juta","Cibitung, Kab. Bekasi",2,1,60 - 90,36,Baru
"Rp 3,35 Miliar","Gunung Putri, Kab. Bogor",4,3,180,250,Second
Rp 340 Juta - Rp 442 Juta,"Sepatan, Kab. Tangerang",2,1,60 - 72,30 - 36,Baru
Rp 775 Juta,"Karangpilang, Kota Surabaya",2,1,57,30,Second
"Rp 558 Juta - Rp 1,26 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",2,2,57 - 115,58,Baru
"Rp 5,5 Miliar","Kebon Jeruk, Kota Jakarta Barat",5,5,215,550,Second
"Rp 1,2 Miliar - Rp 1,55 Miliar","Limo, Kota Depok",3,3,64 - 109,100 - 120,Baru
Rp 899 Juta,"Cisarua, Kab. Bogor",4,3,72,144,Second
"Rp 834 Juta - Rp 1,93 Miliar","Citeureup, Kab. Bogor",2-3,1-2,84 - 160,36 - 62,Baru
Rp 250 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",2,1,31,0,Second
Rp 465 Juta - Rp 490 Juta,"Gunung Sindur, Kab. Bogor",2,1,60,48,Baru
"Rp 5,5 Miliar","Tanjung Priok, Kota Jakarta Utara",6,3,180,354,Second
"Rp 1,85 Miliar - Rp 2,4 Miliar","Bekasi Barat, Kota Bekasi",2-3,1-2,78 - 124,84 - 120,Baru
Rp 588 Juta,"Medan Johor, Kota Medan",3,2,72,80,Second
"Rp 1,48 Miliar - Rp 2,83 Miliar","Ciputat, Kota Tangerang Selatan",3-4,3-4,72 - 105,75 - 110,Baru
Rp 166 Juta,"Parungkuda (Parung Kuda), Kab. Sukabumi",2,1,60,36,Second
"Rp 1,81 Miliar - Rp 2,08 Miliar","Ciputat Timur, Kota Tangerang Selatan",4,3,74 - 80,100,Baru
"Rp 2,15 Miliar","Gunung Putri, Kab. Bogor",5,3,150,150,Second
Rp 700 Juta - Rp 2 Miliar,"Cinambo, Kota Bandung",0,0,0,0,Baru
"Rp 2,6 Miliar","Rungkut, Kota Surabaya",4,3,221,160,Second
"Rp 724,38 Juta - Rp 1 Miliar","Legok, Kab. Tangerang",3,2,66 - 80,65 - 80,Baru
Rp 850 Juta,"Medansatria (Medan Satria), Kota Bekasi",2,1,LB 45,0,Second
"Rp 1,58 Miliar - Rp 1,78 Miliar","Pancoran Mas, Kota Depok",3,2-3,67 - 137,70 - 137,Baru
"Rp 4,69 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",5,4,1.000,1.198,Second
"Rp 1,7 Miliar - Rp 2,47 Miliar","Pinang (Penang), Kota Tangerang",2-3,2,78 - 112,46 - 120,Baru
Rp 999 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",2,1,90,50,Second
Rp 835 Juta - Rp 865 Juta,"Tanjung Priok, Kota Jakarta Utara",2,2,32,58,Baru
"Rp 3,3 Miliar","Medansatria (Medan Satria), Kota Bekasi",4,3,144,230,Second
"Rp 3,5 Miliar - Rp 3,7 Miliar","Cilandak, Kota Jakarta Selatan",4,3,84 - 90,150 - 153,Baru
"Rp 3,1 Miliar","Rawalumbu, Kota Bekasi",4,3,216,150,Second
"Rp 918,1 Juta - Rp 1,54 Miliar","Bojongsari, Kota Depok",3,2,90,70,Baru
"Rp 1,8 Miliar","Kembangan, Kota Jakarta Barat",3,3,60,69,Second
"Rp 1,07 Miliar - Rp 1,4 Miliar","Balaraja, Kab. Tangerang",3-4,2-3,65 - 70,68 - 79,Baru
"Rp 1,38 Miliar","Cakung, Kota Jakarta Timur",4,3,120,67,Second
"Rp 655 Juta - Rp 761,1 Juta","Kemang, Kab. Bogor",2,1,66 - 72,38 - 45,Baru
Rp 395 Juta,"Babelan, Kab. Bekasi",2,1,60,0,Second
"Rp 885 Juta - Rp 1,32 Miliar","Cimanggis, Kota Depok",3,2,45,69 - 72,Baru
"Rp 1,7 Miliar","Wiyung, Kota Surabaya",2,2,120,84,Second
"Rp 1,09 Miliar - Rp 2,85 Miliar","Dau, Kab. Malang",7,7,60 - 143,90 - 200,Baru
Rp 900 Juta,"Medansatria (Medan Satria), Kota Bekasi",4,1,144,105,Second
Rp 600 Juta - Rp 755 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",2,1,60,38,Baru
"Rp 2,3 Miliar","Kembangan, Kota Jakarta Barat",5,4,66,123,Second
"Rp 450 Juta - Rp 953,7 Juta","Cilodong, Kota Depok",2,1,50,32,Baru
"Rp 1,1 Miliar","Taman, Kab. Sidoarjo",3,1,150,80,Second
"Rp 1,43 Miliar - Rp 1,79 Miliar","Pancoran Mas, Kota Depok",3,2,65 - 76,105 - 124,Baru
Rp 850 Juta,"Sedati, Kab. Sidoarjo",2,1,72,0,Second
"Rp 800 Juta - Rp 1,6 Miliar","Karang Tengah, Kota Tangerang",2-3,1-3,75 - 105,45 - 105,Baru
Rp 800 Juta,"Sidoarjo, Kab. Sidoarjo",2,1,95,75,Second
Rp 435 Juta - Rp 674 Juta,"Tambun Utara, Kab. Bekasi",2,1,60 - 90,30 - 50,Baru
Rp 580 Juta,"Cilodong, Kota Depok",2,1,77,0,Second
"Rp 985 Juta - Rp 1,52 Miliar","Cimanggis, Kota Depok",3,2,50 - 81,80 - 100,Baru
Rp 645 Juta,"Sunggal, Kab. Deli Serdang",3,2,66,70,Second
"Rp 808 Juta - Rp 1,6 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",2-3,2,60 - 94,53 - 108,Baru
Rp 265 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,51,51,Second
"Rp 1,28 Miliar - Rp 1,4 Miliar","Pamulang, Kota Tangerang Selatan",3,2,83 - 98,90 - 107,Baru
Rp 850 Juta,"Tarumajaya, Kab. Bekasi",2,1,LB 45,0,Second
Rp 275 Juta - Rp 468 Juta,"Cipayung, Kota Depok",3,2,50 - 87,21 - 36,Baru
"Rp 1,25 Miliar","Taman, Kab. Sidoarjo",4,2,180,160,Second
"Rp 1,25 Miliar","Cimanggis, Kota Depok",3,3,66 - 90,90,Baru
Rp 700 Juta,"Taman, Kab. Sidoarjo",3,LT 90 m²,LB 75,0,Second
"Rp 2,49 Miliar - Rp 7,5 Miliar","Ciracas, Kota Jakarta Timur",3-4,3,120 - 200,120 - 283,Baru
"Rp 2,5 Miliar","Sambikerep, Kota Surabaya",4,3,144,0,Second
Rp 580 Juta - Rp 663 Juta,"Cipayung, Kota Depok",2,1,60 - 73,45,Baru
Rp 600 Juta,"Singosari, Kab. Malang",2,LT 84 m²,LB 110,0,Second
"Rp 795 Juta - Rp 1,18 Miliar","Ngaliyan, Kota Semarang",2,1,120,45,Baru
"Rp 2,6 Miliar","Cisauk, Kab. Tangerang",4,3,111,96,Second
"Rp 350 Juta - Rp 687,5 Juta","Tembalang, Kota Semarang",2,1,60 - 125,30 - 45,Baru
Rp 250 Juta,"Tajurhalang, Kab. Bogor",2,1,50,36,Second
Rp 780 Juta,"Serpong, Kota Tangerang Selatan",3,2,60 - 132,77,Baru
"Rp 1,3 Miliar","Jambangan, Kota Surabaya",5,3,84,186,Second
Rp 298 Juta - Rp 580 Juta,"Dramaga, Kab. Bogor",1-2,1,60 - 139,24 - 33,Baru
"Rp 1,6 Miliar","Rancasari, Kota Bandung",3,3,159,120,Second
"Rp 412,8 Juta - Rp 538 Juta","Cikarang Selatan, Kab. Bekasi",2,1,40 - 60,30 - 72,Baru
Rp 290 Juta,"Cikarang Barat, Kab. Bekasi",2,1,64,36,Second
Rp 600 Juta - Rp 710 Juta,"Babelan, Kab. Bekasi",2,1,60 - 82,36 - 45,Baru
"Rp 1,6 Miliar","Gunung Putri, Kab. Bogor",3,2,96,150,Second
"Rp 739 Juta - Rp 1,04 Miliar","Pancoran Mas, Kota Depok",3,2,64 - 92,43 - 91,Baru
Rp 2 Miliar,"Tarumajaya, Kab. Bekasi",3,2,70,50,Second
Rp 423 Juta - Rp 496 Juta,"Tajurhalang, Kab. Bogor",2,1,72 - 97,36,Baru
Rp 3 Miliar,"Cakung, Kota Jakarta Timur",4,3,112,150,Second
Rp 540 Juta - Rp 736 Juta,"Bojongsari, Kota Depok",2,1,60 - 77,40 - 53,Baru
Rp 1 Miliar,"Jagakarsa, Kota Jakarta Selatan",4,3,46,120,Second
Rp 475 Juta - Rp 612 Juta,"Sawangan, Kota Depok",2,1,58 - 75,45 - 47,Baru
Rp 900 Juta,"Sawangan, Kota Depok",3,2,100,72,Second
"Rp 402,2 Juta - Rp 1,49 Miliar","Batu Aji, Kota Batam",2,1,72 - 284,36 - 45,Baru
"Rp 4,6 Miliar","Medansatria (Medan Satria), Kota Bekasi",4,5,200,150,Second
Rp 490 Juta,"Tambun Selatan, Kab. Bekasi",2,1,75,50,Baru
"Rp 1,3 Miliar","Babelan, Kab. Bekasi",3,2,90,69,Second
Rp 475 Juta - Rp 600 Juta,"Cilodong, Kota Depok",2,1,52 - 87,32 - 5.232,Baru
Rp 850 Juta,"Babelan, Kab. Bekasi",5,2,90,90,Second
Rp 350 Juta - Rp 380 Juta,"Cilodong, Kota Depok",2,1,40,26,Baru
Rp 725 Juta,"Bojongsari, Kota Depok",2,1,72,52,Second
Rp 470 Juta - Rp 730 Juta,"Cilodong, Kota Depok",2-3,1-2,41 - 46,25 - 61,Baru
Rp 700 Juta,"Beji, Kota Depok",2,1,72,60,Second
"Rp 183,15 Juta - Rp 185 Juta","Tajurhalang, Kab. Bogor",2,1,60,22,Baru
Rp 385 Juta,"Cibinong, Kab. Bogor",2,1,65,40,Second
Rp 482 Juta - Rp 539 Juta,"Setu, Kab. Bekasi",2,1,72 - 96,42,Baru
Rp 7 Miliar,"Cisauk, Kab. Tangerang",4,5,234,340,Second
Rp 660 Juta - Rp 760 Juta,"Ngaglik, Kab. Sleman",2,1,87 - 90,50,Baru
"Rp 1,98 Miliar","Jagakarsa, Kota Jakarta Selatan",4,4,73,140,Second
Rp 772 Juta - Rp 799 Juta,"Bekasi Timur, Kota Bekasi",3,2,63,90,Baru
"Rp 2,7 Miliar","Cinere, Kota Depok",4,LT 120 m²,LB 180,0,Second
Rp 627 Juta - Rp 774 Juta,"Cilodong, Kota Depok",2,1,61 - 82,40,Baru
"Rp 1,55 Miliar","Medansatria (Medan Satria), Kota Bekasi",4,4,91,0,Second
Rp 705 Juta - Rp 990 Juta,"Sawangan, Kota Depok",3,2,54 - 93,60 - 70,Baru
Rp 350 Juta,"Tajurhalang, Kab. Bogor",2,1,60,60,Second
Rp 575 Juta - Rp 870 Juta,"Cilodong, Kota Depok",3,2,40 - 79,48 - 73,Baru
Rp 399 Juta,"Gunungpuyuh (Gunung Puyuh), Kota Sukabumi",3,2,84,96,Second
Rp 441 Juta - Rp 515 Juta,"Tambun Selatan, Kab. Bekasi",2,1,80,45,Baru
Rp 4 Miliar,"Duren Sawit, Kota Jakarta Timur",3,LT 150 m²,LB 300,0,Second
Rp 379 Juta - Rp 592 Juta,"Tajurhalang, Kab. Bogor",2,1,50 - 110,48,Baru
Rp 750 Juta,"Bantargebang (Bantar Gebang), Kota Bekasi",2,2,75,52,Second
Rp 743 Juta - Rp 783 Juta,"Cimanggis, Kota Depok",3,2,60 - 73,65,Baru
Rp 60 Miliar,"Cilandak, Kota Jakarta Selatan",5,5,3.059,846,Second
Rp 695 Juta - Rp 892 Juta,"Cimanggis, Kota Depok",2-3,2-3,43 - 66,55 - 77,Baru
Rp 695 Juta,"Pedurungan, Kota Semarang",3,LT 75 m²,LB 100,0,Second
Rp 858 Juta - Rp 985 Juta,"Pondokmelati (Pondok Melati), Kota Bekasi",3,2,55 - 68,55,Baru
"Rp 4,25 Miliar","Pondok Aren, Kota Tangerang Selatan",2,2,181,0,Second
"Rp 767 Juta - Rp 1,02 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",2,1,73,41,Baru
Rp 330 Juta,"Bekasi Barat, Kota Bekasi",2,1,31,31,Second
Rp 505 Juta - Rp 625 Juta,"Sawangan, Kota Depok",2,1,61 - 75,42 - 50,Baru
"Rp 1,2 Miliar","Cibeunying Kidul, Kota Bandung",2,2,105,70,Second
Rp 610 Juta - Rp 696 Juta,"Bojongsari, Kota Depok",2,1,62,41,Baru
Rp 6 Miliar,"Grogol Petamburan, Kota Jakarta Barat",4,2,220,150,Second
Rp 385 Juta - Rp 500 Juta,"Sawangan, Kota Depok",2-3,1-2,40 - 49,36 - 45,Baru
"Rp 2,5 Miliar","Kebayoran Baru, Kota Jakarta Selatan",4,2,93,110,Second
"Rp 800 Juta - Rp 1,05 Miliar","Cilodong, Kota Depok",3,2,66,70,Baru
Rp 195 Juta,"Tambun Utara, Kab. Bekasi",2,1,53,53,Second
"Rp 1,94 Miliar - Rp 3,13 Miliar","Pagedangan, Kab. Tangerang",3-4,2-3,99 - 163,80 - 119,Baru
Rp 195 Juta,"Tambun Utara, Kab. Bekasi",2,1,53,53,Second
Rp 322 Juta - Rp 919 Juta,"Cikarang Selatan, Kab. Bekasi",1-3,1-2,26 - 61,24 - 70,Baru
Rp 8 Miliar,"Kebayoran Baru, Kota Jakarta Selatan",5,4,497,500,Second
Rp 860 Juta - Rp 880 Juta,"Bogor Barat, Kota Bogor",3,2,70,72,Baru
"Rp 3,2 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",5,3,145,300,Second
"Rp 825 Juta - Rp 1,15 Miliar","Cilodong, Kota Depok",3,1,63,50,Baru
"Rp 1,24 Miliar","Antapani (Cicadas), Kota Bandung",3,2,81,115,Second
"Rp 1,87 Miliar - Rp 2,31 Miliar","Ciputat Timur, Kota Tangerang Selatan",4,2,60,115,Baru
"Rp 4,5 Miliar","Cakung, Kota Jakarta Timur",3,3,153,230,Second
"Rp 1,08 Miliar - Rp 1,15 Miliar","Cilodong, Kota Depok",3,2,90,77,Baru
"Rp 1,2 Miliar","Arcamanik, Kota Bandung",3,2,150,120,Second
Rp 675 Juta,"Pamulang, Kota Tangerang Selatan",2,1,60,40,Baru
"Rp 3,1 Miliar","Sukawati, Kab. Gianyar",3,3,100,100,Second
"Rp 871,4 Juta - Rp 915,2 Juta","Cimanggis, Kota Depok",2-3,2,45 - 53,61 - 71,Baru
"Rp 2,15 Miliar","Duren Sawit, Kota Jakarta Timur",3,3,90,140,Second
"Rp 1,55 Miliar - Rp 2,22 Miliar","Ciputat, Kota Tangerang Selatan",3,2,66 - 106,90,Baru
Rp 225 Juta,"Bergas, Kab. Semarang",3,1,130,130,Second
"Rp 980 Juta - Rp 1,85 Miliar","Sawangan, Kota Depok",2-3,1-2,110 - 273,55 - 105,Baru
Rp 950 Juta,"Tapos, Kota Depok",4,2,LB 100,0,Second
"Rp 2,7 Miliar - Rp 2,9 Miliar","Kuta Utara, Kab. Badung",2,3,100 - 125,111 - 135,Baru
"Rp 1,35 Miliar","Gunung Putri, Kab. Bogor",6,4,72,0,Second
Rp 465 Juta,"Cibarusah, Kab. Bekasi",2,1,60,40,Baru
"Rp 5,5 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",8,4,254,570,Second
Rp 385 Juta - Rp 415 Juta,"Tajurhalang, Kab. Bogor",2,1,60,38,Baru
Rp 185 Juta,"Jonggol, Kab. Bogor",2,1,60,36,Second
Rp 365 Juta - Rp 453 Juta,"Setu, Kab. Bekasi",2,1,60 - 92,36,Baru
"Rp 3,6 Miliar","Cinere, Kota Depok",4,5,200,200,Second
"Rp 775 Juta - Rp 1,01 Miliar","Limo, Kota Depok",2,1,70 - 122,55 - 65,Baru
Rp 888 Juta,"Medan Amplas, Kota Medan",3,3,84,110,Second
"Rp 619,5 Juta - Rp 669,5 Juta","Mustikajaya (Mustika Jaya), Kota Bekasi",2,1,72,42,Baru
Rp 400 Juta,"Sawangan, Kota Depok",2,1,52,0,Second
"Rp 472,3 Juta - Rp 675 Juta","Pancoran Mas, Kota Depok",2,1,51 - 85,36 - 47,Baru
"Rp 1,75 Miliar","Jatiasih, Kota Bekasi",5,2,200,150,Second
"Rp 1,45 Miliar - Rp 1,61 Miliar","Cipayung, Kota Jakarta Timur",3,2,60 - 93,60 - 70,Baru
Rp 450 Juta,"Tajurhalang, Kab. Bogor",2,1,84,60,Second
"Rp 14,83 Miliar - Rp 30,15 Miliar","Serpong Utara, Kota Tangerang Selatan",4-5,5-6,312 - 598,398 - 568,Baru
Rp 699 Juta,"Ciomas, Kab. Bogor",3,2,67,74,Second
"Rp 1 Miliar - Rp 1,5 Miliar","Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
Rp 818 Juta,"Cibinong, Kab. Bogor",3,2,70,86,Second
Rp 650 Juta - Rp 899 Juta,"Gunung Sindur, Kab. Bogor",2,1-2,60,36 - 65,Baru
Rp 680 Juta,"Tanah Sareal (Tanah Sereal), Kota Bogor",3,2,90,100,Second
"Rp 4,03 Miliar - Rp 12,93 Miliar","Babakan Madang, Kab. Bogor",4,4,120 - 547,178 - 314,Baru
Rp 490 Juta,"Rungkut, Kota Surabaya",2,1,60,45,Second
"Rp 1,41 Miliar - Rp 1,5 Miliar","Sawangan, Kota Depok",3,2,105 - 138,80 - 105,Baru
"Rp 2,88 Miliar","Pondok Aren, Kota Tangerang Selatan",3,4,123,180,Second
"Rp 1,88 Miliar - Rp 1,93 Miliar","Serpong, Kota Tangerang Selatan",3-4,3,84,104,Baru
Rp 4 Miliar,"Cimenyan (Cimeunyan), Kab. Bandung",5,3,417,515,Second
"Rp 556 Juta - Rp 1,8 Miliar","Babelan, Kab. Bekasi",2-3,1-3,36 - 120,25 - 108,Baru
"Rp 4,2 Miliar","Duren Sawit, Kota Jakarta Timur",3,2,304,131,Second
"Rp 542,5 Juta - Rp 627,5 Juta","Tajurhalang, Kab. Bogor",2,2,60,31 - 48,Baru
"Rp 18,5 Miliar","Cilandak, Kota Jakarta Selatan",7,6,650,500,Second
"Rp 725 Juta - Rp 1,16 Miliar","Tapos, Kota Depok",2-3,2,62 - 104,58 - 76,Baru
Rp 4 Miliar,"Duren Sawit, Kota Jakarta Timur",3,3,150,300,Second
"Rp 797 Juta - Rp 1,7 Miliar","Beji, Kota Depok",3,2,46 - 105,50 - 84,Baru
"Rp 3,5 Miliar","Bekasi Selatan, Kota Bekasi",5,4,238,208,Second
Rp 332 Juta - Rp 350 Juta,"Ujungberung (Ujung Berung), Kota Bandung",2,1,60,36,Baru
"Rp 2,9 Miliar","Depok, Kab. Sleman",3,2,145,100,Second
"Rp 6,6 Miliar - Rp 7,95 Miliar","Kuta Selatan, Kab. Badung",2-3,1-4,200 - 300,163 - 239,Baru
Rp 562 Juta,"Bojongsoang, Kab. Bandung",2,LT 60 m²,LB 32,0,Second
"Rp 720 Juta - Rp 1,06 Miliar","Setu, Kota Tangerang Selatan",2,2,60 - 104,55,Baru
Rp 185 Juta,"Matraman, Kota Jakarta Timur",2,1,30,30,Second
Rp 675 Juta - Rp 915 Juta,"Tapos, Kota Depok",3,2,70,60 - 76,Baru
Rp 475 Juta,"Ciracas, Kota Jakarta Timur",3,2,50,55,Second
Rp 558 Juta - Rp 600 Juta,"Tambun Utara, Kab. Bekasi",2,1,62 - 72,42,Baru
Rp 177 Juta,"Cibinong, Kab. Bogor",2,1,30,30,Second
"Rp 690 Juta - Rp 1,15 Miliar","Wiyung, Kota Surabaya",2-3,1-2,50 - 60,30 - 66,Baru
Rp 295 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,50,40,Second
Rp 723 Juta - Rp 748 Juta,"Gunung Anyar (Gununganyar), Kota Surabaya",2,2,50,48,Baru
Rp 985 Juta,"Cimanggis, Kota Depok",2,2,150,150,Second
"Rp 499 Juta - Rp 664,8 Juta","Bojong Gede (Bojonggede), Kab. Bogor",2,1,60 - 92,40 - 60,Baru
"Rp 2,3 Miliar","Banyumanik, Kota Semarang",2,1,126,0,Second
"Rp 795 Juta - Rp 1,09 Miliar","Sawangan, Kota Depok",2,2,60 - 108,5 - 55,Baru
"Rp 2,05 Miliar","Duren Sawit, Kota Jakarta Timur",4,2,157,150,Second
Rp 715 Juta,"Bogor Selatan, Kota Bogor",3,2,60,68,Baru
Rp 700 Juta,"Lembang, Kab. Bandung Barat",4,3,130,100,Second
"Rp 2,83 Miliar","Marpoyan Damai, Kota Pekanbaru",4,4,153,160,Baru
Rp 44 Miliar,"Menteng, Kota Jakarta Pusat",7,7,1.070,800,Second
Rp 310 Juta - Rp 440 Juta,"Karang Bahagia (Karangbahagia), Kab. Bekasi",2,1,66 - 70,36 - 42,Baru
"Rp 3,2 Miliar","Duren Sawit, Kota Jakarta Timur",4,4,117,113,Second
"Rp 525 Juta - Rp 1,14 Miliar","Setu, Kab. Bekasi",2-3,1-2,45 - 72,32 - 72,Baru
Rp 627 Juta,"Arcamanik, Kota Bandung",2,1,77,60,Second
Rp 395 Juta - Rp 444 Juta,"Sawangan, Kota Depok",2,1,53,42,Baru
"Rp 1,6 Miliar","Kramatjati (Kramat Jati), Kota Jakarta Timur",4,5,84,165,Second
"Rp 550 Juta - Rp 1,2 Miliar","Cikarang Selatan, Kab. Bekasi",2-3,1-3,60 - 105,35 - 76,Baru
"Rp 2,3 Miliar","Kebayoran Lama, Kota Jakarta Selatan",5,4,168,200,Second
Rp 245 Juta - Rp 375 Juta,"Kedungkandang, Kota Malang",2-3,1-2,72,45 - 60,Baru
"Rp 7,5 Miliar","Ciputat Timur, Kota Tangerang Selatan",4,2,356,116,Second
Rp 510 Juta - Rp 605 Juta,"Godean, Kab. Sleman",3,1,90 - 117,50 - 63,Baru
"Rp 2,6 Miliar","Duren Sawit, Kota Jakarta Timur",4,3,LB 120,0,Second
"Rp 659 Juta - Rp 1,09 Miliar","Bojongsari, Kota Depok",2-3,1-2,60 - 91,44 - 112,Baru
Rp 185 Juta,"Duren Sawit, Kota Jakarta Timur",2,1,LB 32,0,Second
Rp 615 Juta,"Cikarang Selatan, Kab. Bekasi",2,1,72,51,Baru
Rp 500 Juta,"Bojongloa Kidul, Kota Bandung",3,2,161,300,Second
Rp 361 Juta - Rp 492 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,44 - 83,40 - 45,Baru
"Rp 2,75 Miliar","Pondok Aren, Kota Tangerang Selatan",4,3,112,200,Second
Rp 278 Juta - Rp 465 Juta,"Pasar Kemis, Kab. Tangerang",2,1,60 - 72,33 - 40,Baru
"Rp 2,25 Miliar","Serpong, Kota Tangerang Selatan",3,3,112,150,Second
"Rp 1,11 Miliar - Rp 1,7 Miliar","Pamulang, Kota Tangerang Selatan",2-3,2,72 - 73,52 - 80,Baru
"Rp 2,6 Miliar","Gedebage, Kota Bandung",3,2,162,124,Second
Rp 630 Juta - Rp 860 Juta,"Bogor Selatan, Kota Bogor",2,1,72,34,Baru
Rp 450 Juta,"Gunung Putri, Kab. Bogor",4,2,60,120,Second
Rp 289 Juta - Rp 670 Juta,"Cikarang Selatan, Kab. Bekasi",1-3,1-2,28 - 57,29 - 63,Baru
Rp 553 Juta,"Gunung Putri, Kab. Bogor",2,1,56,0,Second
"Rp 1,2 Miliar - Rp 1,98 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",3,3,84 - 87,77 - 105,Baru
"Rp 12,67 Miliar","Tebet, Kota Jakarta Selatan",3,2,LB 296,0,Second
"Rp 2,16 Miliar - Rp 2,8 Miliar","Ciputat Timur, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 3,6 Miliar","Mampang Prapatan, Kota Jakarta Selatan",4,5,60,169,Second
"Rp 1,12 Miliar - Rp 1,15 Miliar","Pondokmelati (Pondok Melati), Kota Bekasi",3,2,60,58,Baru
Rp 930 Juta,"Jonggol, Kab. Bogor",3,2,257,100,Second
"Rp 2,44 Miliar - Rp 4,58 Miliar","Kembangan, Kota Jakarta Barat",5,2-4,99 - 188,60 - 96,Baru
"Rp 2,92 Miliar","Bogor Timur, Kota Bogor",4,3,LB 156,0,Second
Rp 475 Juta - Rp 698 Juta,"Babelan, Kab. Bekasi",2,1,60 - 70,36 - 42,Baru
Rp 450 Juta,"Cimanggis, Kota Depok",3,2,LB 60,0,Second
"Rp 570 Juta - Rp 953,7 Juta","Cilodong, Kota Depok",2,1,50 - 77,32,Baru
Rp 875 Juta,"Tawangmangu, Kab. Karanganyar",6,4,220,220,Second
Rp 647 Juta - Rp 779 Juta,"Cilodong, Kota Depok",2,1,62 - 77,42 - 52,Baru
"Rp 4,1 Miliar","Pondok Aren, Kota Tangerang Selatan",4,4,180,0,Second
Rp 460 Juta - Rp 775 Juta,"Tanjung Priok, Kota Jakarta Utara",2,2,20 - 30,40 - 60,Baru
Rp 368 Juta,"Cipayung, Kota Jakarta Timur",2,1,52,40,Second
Rp 490 Juta - Rp 720 Juta,"Sawangan, Kota Depok",2-3,1-2,50 - 64,30 - 66,Baru
"Rp 2,67 Miliar","Ciputat, Kota Tangerang Selatan",3,LT 116 m²,LB 81,0,Second
Rp 600 Juta - Rp 870 Juta,"Cilodong, Kota Depok",3,2,36,55,Baru
Rp 450 Juta,"Tanjung Priok, Kota Jakarta Utara",3,2,55,55,Second
Rp 400 Juta - Rp 600 Juta,"Tajurhalang, Kab. Bogor",0,0,0,0,Baru
Rp 350 Juta,"Gunung Sindur, Kab. Bogor",2,1,60,36,Second
"Rp 1,12 Miliar - Rp 1,15 Miliar","Pondokmelati (Pondok Melati), Kota Bekasi",3,2,60,58,Baru
Rp 845 Juta,"Pondokmelati (Pondok Melati), Kota Bekasi",3,2,82,54,Second
"Rp 1,49 Miliar - Rp 2 Miliar","Cengkareng, Kota Jakarta Barat",3,2,66,90,Baru
Rp 900 Juta,"Ciputat, Kota Tangerang Selatan",3,2,60,70,Second
Rp 891 Juta,"Sumbang, Kab. Banyumas",2,1,66 - 73,42,Baru
Rp 62 Miliar,"Kebayoran Lama, Kota Jakarta Selatan",4,5,670,2.000,Second
"Rp 1,45 Miliar - Rp 1,93 Miliar","Ngaglik, Kab. Sleman",3,2,104,120,Baru
Rp 420 Juta,"Teluknaga, Kab. Tangerang",3,2,60,100,Second
"Rp 950 Juta - Rp 4,98 Miliar","Payung Sekaki, Kota Pekanbaru",3,2,112 - 446,70 - 400,Baru
Rp 270 Juta,"Teluknaga, Kab. Tangerang",2,1,70,70,Second
"Rp 804 Juta - Rp 1,23 Miliar","Bojongsoang, Kab. Bandung",3,2,73 - 112,50 - 75,Baru
"Rp 4,1 Miliar","Pondok Aren, Kota Tangerang Selatan",4,4,180,285,Second
"Rp 1,8 Miliar - Rp 2,2 Miliar","Ciputat Timur, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 788 Juta,"Gunung Putri, Kab. Bogor",2,2,90,70,Second
"Rp 838 Juta - Rp 1,38 Miliar","Cipayung, Kota Jakarta Timur",0,0,0,0,Baru
"Rp 1,09 Miliar","Pamulang, Kota Tangerang Selatan",3,3,61,60,Second
"Rp 848 Juta - Rp 1,11 Miliar","Pamulang, Kota Tangerang Selatan",3,2,60,62 - 68,Baru
"Rp 1,9 Miliar","Lowokwaru, Kota Malang",17,17,156,300,Second
"Rp 3,2 Miliar - Rp 3,71 Miliar","Kasihan, Kab. Bantul",4,4,282 - 317,195,Baru
Rp 875 Juta,"Kebayoran Lama, Kota Jakarta Selatan",2,2,60,72,Second
"Rp 1,32 Miliar - Rp 2,11 Miliar","Ngaglik, Kab. Sleman",3,2,125 - 128,88 - 250,Baru
